Provincia de procedencia (agrupadas por comunidad autónoma);Nacionalidad;Continente de nacimiento;Total
Huelva;Extranjeros;Nacidos en América;134
Huelva;Extranjeros;Nacidos en Asia;18
Huelva;Extranjeros;Nacidos en Oceanía;1
Jaén;Total;Total;832
Jaén;Total;Nacidos en España;283
Jaén;Total;Nacidos en la UE27_2020;127
Jaén;Total;Nacidos en el resto de Europa;35
Jaén;Total;Nacidos en África;192
Jaén;Total;Nacidos en América;129
Jaén;Total;Nacidos en Asia;64
Jaén;Total;Nacidos en Oceanía;2
Jaén;Españoles;Total;351
Jaén;Españoles;Nacidos en España;263
Jaén;Españoles;Nacidos en la UE27_2020;4
Jaén;Españoles;Nacidos en el resto de Europa;6
Jaén;Españoles;Nacidos en África;27
Jaén;Españoles;Nacidos en América;31
Jaén;Españoles;Nacidos en Asia;20
Jaén;Españoles;Nacidos en Oceanía;0
Jaén;Extranjeros;Total;481
Jaén;Extranjeros;Nacidos en España;20
Jaén;Extranjeros;Nacidos en la UE27_2020;123
Jaén;Extranjeros;Nacidos en el resto de Europa;29
Jaén;Extranjeros;Nacidos en África;165
Jaén;Extranjeros;Nacidos en América;98
Jaén;Extranjeros;Nacidos en Asia;44
Jaén;Extranjeros;Nacidos en Oceanía;2
Málaga;Total;Total;15.972
Málaga;Total;Nacidos en España;1.837
Málaga;Total;Nacidos en la UE27_2020;4.025
Málaga;Total;Nacidos en el resto de Europa;4.051
Málaga;Total;Nacidos en África;2.184
Málaga;Total;Nacidos en América;2.971
Málaga;Total;Nacidos en Asia;875
Málaga;Total;Nacidos en Oceanía;29
Málaga;Españoles;Total;1.891
Málaga;Españoles;Nacidos en España;1.099
Málaga;Españoles;Nacidos en la UE27_2020;52
Málaga;Españoles;Nacidos en el resto de Europa;46
Málaga;Españoles;Nacidos en África;218
Málaga;Españoles;Nacidos en América;424
Málaga;Españoles;Nacidos en Asia;50
Málaga;Españoles;Nacidos en Oceanía;2
Málaga;Extranjeros;Total;14.081
Málaga;Extranjeros;Nacidos en España;738
